Entity,num_crops
China,17
Mexico,16
Argentina,15
United States,15
Morocco,15
Spain,15
Kazakhstan,14
Greece,14
Turkey,14
Ecuador,14
Kyrgyzstan,14
Bulgaria,14
Australia,14
Pakistan,14
Tanzania,14
Colombia,14
India,14
Tajikistan,13
Peru,13
South Africa,13
Bolivia,13
Angola,13
Brazil,13
Venezuela,13
Paraguay,13
Zambia,13
Zimbabwe,13
Iran,13
Ukraine,12
North Macedonia,12
Russia,12
Hungary,12
Azerbaijan,12
France,12
Thailand,12
Uganda,12
Cameroon,12
Democratic Republic of Congo,12
Myanmar,12
Malawi,12
Burundi,12
Nigeria,12
Kenya,12
Iraq,12
Ethiopia,12
Guatemala,12
Syria,12
Croatia,11
Slovakia,11
Moldova,11
Serbia and Montenegro,11
Romania,11
Italy,11
Portugal,11
Honduras,11
Mozambique,11
Cote d'Ivoire,11
Madagascar,11
Rwanda,11
Benin,11
Uruguay,11
Japan,11
Algeria,11
Austria,10
Albania,10
Sudan,10
Burkina Faso,10
Mali,10
Niger,10
Nicaragua,10
Senegal,10
Bosnia and Herzegovina,9
Czechia,9
Georgia,9
Slovenia,9
Switzerland,9
Poland,9
Germany,9
Chile,9
Canada,9
Togo,9
Vietnam,9
Guinea,9
Ghana,9
Philippines,9
Bangladesh,9
Sri Lanka,9
Indonesia,9
Afghanistan,9
South Korea,9
Nepal,9
Lebanon,9
Israel,9
Belarus,8
Belize,8
Papua New Guinea,8
Gambia,8
Panama,8
El Salvador,8
Congo,8
Costa Rica,8
Bhutan,8
Namibia,8
Tunisia,8
Netherlands,7
Cuba,7
Gabon,7
Cambodia,7
Yemen,7
Saudi Arabia,7
Eritrea,7
Estonia,6
Latvia,6
Lithuania,6
Luxembourg,6
Armenia,6
Ireland,6
Sweden,6
Denmark,6
Finland,6
United Kingdom,6
Suriname,6
Malaysia,6
Jamaica,6
Libya,6
Jordan,6
Norway,5
Guyana,5
New Zealand,5
Trinidad and Tobago,4
Mongolia,4
Egypt,4
Oman,3
Brunei,2
United Arab Emirates,1
