Entity,crop,total_yield_per_crop,total_yield_per_country,global_yield,pct_yield_share
United States,wheat_yield,3.2,235.18,12893.35,0.0182
United States,sunflower_yield,1.78,235.18,12893.35,0.0182
United States,soybean_yield,3.02,235.18,12893.35,0.0182
United States,sugarcane_yield,86.07,235.18,12893.35,0.0182
United States,potato_yield,44.22,235.18,12893.35,0.0182
United States,sorghum_yield,4.53,235.18,12893.35,0.0182
United States,rice_yield,7.43,235.18,12893.35,0.0182
United States,groundnut_yield,3.72,235.18,12893.35,0.0182
United States,cotton_yield,2.68,235.18,12893.35,0.0182
United States,sugarbeet_yield,59.04,235.18,12893.35,0.0182
United States,rye_yield,1.94,235.18,12893.35,0.0182
United States,millet_yield,1.98,235.18,12893.35,0.0182
United States,barley_yield,3.8,235.18,12893.35,0.0182
United States,rapeseed_yield,1.97,235.18,12893.35,0.0182
United States,maize_yield,9.8,235.18,12893.35,0.0182
China,sugarcane_yield,76.83,227.2,12893.35,0.0176
China,sunflower_yield,2.08,227.2,12893.35,0.0176
China,barley_yield,3.86,227.2,12893.35,0.0176
China,groundnut_yield,3.75,227.2,12893.35,0.0176
China,rye_yield,3.78,227.2,12893.35,0.0176
China,cotton_yield,4.11,227.2,12893.35,0.0176
China,rapeseed_yield,2.03,227.2,12893.35,0.0176
China,oilpalm_yield,12.93,227.2,12893.35,0.0176
China,sorghum_yield,4.47,227.2,12893.35,0.0176
China,maize_yield,6.1,227.2,12893.35,0.0176
China,cassava_yield,16.56,227.2,12893.35,0.0176
China,soybean_yield,1.78,227.2,12893.35,0.0176
China,rice_yield,7.03,227.2,12893.35,0.0176
China,wheat_yield,5.26,227.2,12893.35,0.0176
China,millet_yield,1.99,227.2,12893.35,0.0176
China,sugarbeet_yield,55.88,227.2,12893.35,0.0176
China,potato_yield,18.76,227.2,12893.35,0.0176
Spain,barley_yield,3.43,210.3,12893.35,0.0163
Spain,rice_yield,7.7,210.3,12893.35,0.0163
Spain,wheat_yield,3.87,210.3,12893.35,0.0163
Spain,soybean_yield,2.79,210.3,12893.35,0.0163
Spain,sorghum_yield,4.29,210.3,12893.35,0.0163
Spain,maize_yield,10.02,210.3,12893.35,0.0163
Spain,rapeseed_yield,2.18,210.3,12893.35,0.0163
Spain,groundnut_yield,3.44,210.3,12893.35,0.0163
Spain,potato_yield,29.8,210.3,12893.35,0.0163
Spain,rye_yield,2.85,210.3,12893.35,0.0163
Spain,sugarbeet_yield,69.99,210.3,12893.35,0.0163
Spain,millet_yield,1.99,210.3,12893.35,0.0163
Spain,sugarcane_yield,64.18,210.3,12893.35,0.0163
Spain,cotton_yield,2.4,210.3,12893.35,0.0163
Spain,sunflower_yield,1.37,210.3,12893.35,0.0163
Iran,sunflower_yield,1.0,196.49,12893.35,0.0152
Iran,rice_yield,3.43,196.49,12893.35,0.0152
Iran,sugarbeet_yield,55.9,196.49,12893.35,0.0152
Iran,cotton_yield,2.28,196.49,12893.35,0.0152
Iran,sugarcane_yield,80.19,196.49,12893.35,0.0152
Iran,wheat_yield,2.16,196.49,12893.35,0.0152
Iran,barley_yield,1.87,196.49,12893.35,0.0152
Iran,rapeseed_yield,1.82,196.49,12893.35,0.0152
Iran,soybean_yield,2.47,196.49,12893.35,0.0152
Iran,potato_yield,32.37,196.49,12893.35,0.0152
Iran,groundnut_yield,4.17,196.49,12893.35,0.0152
