Entity,crop,avg_ratio
Afghanistan,millet,0.99
Afghanistan,sunflower,0.82
Afghanistan,wheat,0.48
Afghanistan,barley,0.47
Afghanistan,cotton,0.33
Afghanistan,rice,0.31
Afghanistan,potato,0.29
Afghanistan,maize,0.19
Afghanistan,sugarbeet,0.16
Afghanistan,sugarcane,
Afghanistan,soybean,
Afghanistan,rapeseed,
Afghanistan,sorghum,
Afghanistan,cassava,
Afghanistan,rye,
Afghanistan,oilpalm,
Afghanistan,groundnut,
Albania,sunflower,0.91
Albania,soybean,0.75
Albania,maize,0.75
Albania,potato,0.72
Albania,wheat,0.71
Albania,barley,0.46
Albania,rye,0.4
Albania,sugarbeet,0.33
Albania,cotton,0.24
Albania,rice,
Albania,cassava,
Albania,oilpalm,
Albania,sorghum,
Albania,rapeseed,
Albania,sugarcane,
Albania,millet,
Albania,groundnut,
Algeria,sorghum,0.97
Algeria,potato,0.91
Algeria,rapeseed,0.84
Algeria,barley,0.46
Algeria,wheat,0.36
Algeria,groundnut,0.35
Algeria,maize,0.25
Algeria,sunflower,0.23
Algeria,rice,0.19
Algeria,cotton,0.08
Algeria,rye,
Algeria,cassava,
Algeria,oilpalm,
Algeria,soybean,
Algeria,sugarbeet,
Algeria,millet,
Algeria,sugarcane,
Angola,cassava,0.75
Angola,oilpalm,0.62
Angola,cotton,0.58
Angola,sunflower,0.45
Angola,sugarcane,0.41
Angola,potato,0.3
Angola,wheat,0.24
Angola,soybean,0.17
Angola,groundnut,0.17
Angola,rice,0.15
Angola,maize,0.15
Angola,millet,0.13
Angola,sorghum,0.1
Angola,rapeseed,
Angola,rye,
Angola,barley,
Angola,sugarbeet,
Argentina,potato,0.95
Argentina,soybean,0.95
Argentina,sunflower,0.94
Argentina,barley,0.94
Argentina,maize,0.92
Argentina,rice,0.87
Argentina,millet,0.81
Argentina,sorghum,0.81
Argentina,cotton,0.69
Argentina,groundnut,0.66
Argentina,rapeseed,0.65
Argentina,wheat,0.62
Argentina,sugarcane,0.57
Argentina,cassava,0.46
Argentina,rye,0.32
Argentina,sugarbeet,
Argentina,oilpalm,
Armenia,rye,0.79
Armenia,barley,0.71
Armenia,wheat,0.65
Armenia,maize,0.59
Armenia,potato,0.58
Armenia,sugarbeet,0.25
Armenia,soybean,
Armenia,sunflower,
Armenia,cotton,
Armenia,millet,
Armenia,rice,
Armenia,sugarcane,
Armenia,sorghum,
Armenia,groundnut,
Armenia,rapeseed,
Armenia,oilpalm,
Armenia,cassava,
Australia,potato,1.0
Australia,cotton,0.98
Australia,rice,0.97
Australia,groundnut,0.93
Australia,maize,0.9
Australia,sugarcane,0.8
Australia,barley,0.79
Australia,sunflower,0.78
Australia,soybean,0.75
Australia,rapeseed,0.59
Australia,sorghum,0.54
Australia,millet,0.51
Australia,wheat,0.49
Australia,rye,0.12
Australia,cassava,
Australia,oilpalm,
Australia,sugarbeet,
Austria,millet,0.99
Austria,maize,0.98
Austria,sugarbeet,0.98
Austria,sunflower,0.98
Austria,soybean,0.92
Austria,rapeseed,0.9
Austria,barley,0.77
Austria,rye,0.76
Austria,potato,0.71
Austria,wheat,0.64
Austria,oilpalm,
Austria,groundnut,
Austria,cotton,
Austria,sorghum,
Austria,rice,
Austria,cassava,
Austria,sugarcane,
Azerbaijan,sunflower,0.95
Azerbaijan,barley,0.78
Azerbaijan,millet,0.69
Azerbaijan,wheat,0.58
Azerbaijan,cotton,0.53
Azerbaijan,sugarbeet,0.47
Azerbaijan,rye,0.47
Azerbaijan,maize,0.46
Azerbaijan,sorghum,0.42
Azerbaijan,potato,0.38
Azerbaijan,rice,0.27
Azerbaijan,soybean,0.19
Azerbaijan,sugarcane,
Azerbaijan,rapeseed,
Azerbaijan,groundnut,
Azerbaijan,oilpalm,
Azerbaijan,cassava,
Bahrain,sugarcane,
Bahrain,rice,
Bahrain,sorghum,
Bahrain,millet,
Bahrain,potato,
Bahrain,sunflower,
Bahrain,sugarbeet,
Bahrain,cassava,
Bahrain,oilpalm,
Bahrain,rapeseed,
Bahrain,soybean,
Bahrain,cotton,
Bahrain,barley,
Bahrain,maize,
Bahrain,wheat,
Bahrain,rye,
Bahrain,groundnut,
Bangladesh,maize,1.0
Bangladesh,cotton,1.0
Bangladesh,rapeseed,0.99
Bangladesh,rice,0.9
Bangladesh,groundnut,0.87
Bangladesh,potato,0.81
Bangladesh,sorghum,0.51
Bangladesh,sugarcane,0.48
Bangladesh,millet,0.46
Bangladesh,sugarbeet,
Bangladesh,rye,
Bangladesh,barley,
Bangladesh,sunflower,
Bangladesh,soybean,
Bangladesh,cassava,
Bangladesh,wheat,
Bangladesh,oilpalm,
Barbados,cassava,
Barbados,sugarbeet,
Barbados,maize,
Barbados,soybean,
Barbados,rice,
Barbados,rye,
Barbados,wheat,
Barbados,sunflower,
Barbados,oilpalm,
Barbados,cotton,
Barbados,sorghum,
Barbados,sugarcane,
Barbados,barley,
Barbados,millet,
Barbados,potato,
Barbados,groundnut,
Barbados,rapeseed,
Belarus,potato,0.98
Belarus,sugarbeet,0.84
Belarus,barley,0.58
Belarus,maize,0.58
Belarus,rye,0.55
Belarus,sunflower,0.53
Belarus,wheat,0.52
Belarus,rapeseed,0.45
Belarus,cassava,
Belarus,soybean,
Belarus,groundnut,
Belarus,cotton,
Belarus,millet,
Belarus,sugarcane,
Belarus,sorghum,
Belarus,oilpalm,
Belarus,rice,
Belize,rice,0.94
Belize,cassava,0.87
Belize,maize,0.83
Belize,groundnut,0.64
Belize,sorghum,0.64
Belize,soybean,0.59
Belize,potato,0.56
Belize,sugarcane,0.54
Belize,rapeseed,
Belize,sugarbeet,
Belize,oilpalm,
Belize,barley,
Belize,cotton,
Belize,wheat,
Belize,sunflower,
Belize,rye,
Belize,millet,
Benin,oilpalm,0.98
Benin,cotton,0.85
Benin,sorghum,0.77
Benin,millet,0.69
Benin,rice,0.68
Benin,cassava,0.57
Benin,groundnut,0.54
Benin,potato,0.44
Benin,soybean,0.43
Benin,maize,0.37
Benin,sugarcane,0.23
Benin,rye,
Benin,wheat,
Benin,rapeseed,
Benin,sunflower,
Benin,barley,
Benin,sugarbeet,
Bhutan,millet,0.89
Bhutan,rice,0.58
Bhutan,soybean,0.34
Bhutan,wheat,0.32
Bhutan,sugarcane,0.31
Bhutan,maize,0.31
Bhutan,barley,0.29
Bhutan,potato,0.28
Bhutan,oilpalm,
Bhutan,sunflower,
Bhutan,rye,
Bhutan,cotton,
Bhutan,groundnut,
Bhutan,cassava,
Bhutan,sorghum,
Bhutan,sugarbeet,
Bhutan,rapeseed,
Bolivia,sorghum,0.92
Bolivia,soybean,0.86
Bolivia,sunflower,0.71
Bolivia,sugarcane,0.57
Bolivia,cassava,0.51
Bolivia,groundnut,0.51
Bolivia,rice,0.48
Bolivia,maize,0.44
Bolivia,cotton,0.41
Bolivia,wheat,0.29
Bolivia,barley,0.24
Bolivia,rye,0.22
Bolivia,potato,0.18
Bolivia,rapeseed,
Bolivia,millet,
Bolivia,sugarbeet,
Bolivia,oilpalm,
Bosnia and Herzegovina,rapeseed,0.73
Bosnia and Herzegovina,soybean,0.63
Bosnia and Herzegovina,barley,0.51
Bosnia and Herzegovina,wheat,0.5
Bosnia and Herzegovina,rye,0.49
Bosnia and Herzegovina,sunflower,0.49
Bosnia and Herzegovina,maize,0.47
Bosnia and Herzegovina,sugarbeet,0.26
Bosnia and Herzegovina,potato,0.24
Bosnia and Herzegovina,sugarcane,
Bosnia and Herzegovina,cassava,
Bosnia and Herzegovina,groundnut,
Bosnia and Herzegovina,cotton,
Bosnia and Herzegovina,sorghum,
Bosnia and Herzegovina,oilpalm,
Bosnia and Herzegovina,millet,
Bosnia and Herzegovina,rice,
Brazil,cotton,1.0
Brazil,potato,1.0
Brazil,soybean,0.98
Brazil,groundnut,0.98
Brazil,sunflower,0.92
Brazil,maize,0.92
Brazil,sorghum,0.88
Brazil,rice,0.85
Brazil,rapeseed,0.84
Brazil,sugarcane,0.83
Brazil,cassava,0.8
Brazil,wheat,0.63
Brazil,oilpalm,0.59
Brazil,sugarbeet,
Brazil,rye,
Brazil,millet,
Brazil,barley,
Brunei,cassava,0.61
Brunei,rice,0.24
Brunei,cotton,
Brunei,soybean,
Brunei,millet,
Brunei,maize,
Brunei,sorghum,
Brunei,rapeseed,
Brunei,potato,
Brunei,rye,
Brunei,groundnut,
Brunei,barley,
Brunei,sugarbeet,
Brunei,oilpalm,
Brunei,sunflower,
Brunei,wheat,
Brunei,sugarcane,
Bulgaria,sunflower,0.98
Bulgaria,rapeseed,0.82
Bulgaria,barley,0.8
Bulgaria,millet,0.75
Bulgaria,wheat,0.72
Bulgaria,sorghum,0.58
Bulgaria,maize,0.57
Bulgaria,rice,0.56
Bulgaria,soybean,0.5
Bulgaria,potato,0.45
Bulgaria,rye,0.43
Bulgaria,groundnut,0.36
Bulgaria,cotton,0.28
Bulgaria,sugarbeet,
Bulgaria,cassava,
Bulgaria,sugarcane,
Bulgaria,oilpalm,
Burkina Faso,sugarcane,1.0
Burkina Faso,cotton,0.98
Burkina Faso,sorghum,0.82
Burkina Faso,millet,0.73
Burkina Faso,soybean,0.61
Burkina Faso,maize,0.54
Burkina Faso,groundnut,0.46
Burkina Faso,rice,0.4
Burkina Faso,potato,0.08
Burkina Faso,cassava,0.04
Burkina Faso,sugarbeet,
Burkina Faso,rapeseed,
Burkina Faso,rye,
