Entity,avg_ratio
Saudi Arabia,1.0
Sweden,0.97
Denmark,0.97
Germany,0.93
New Zealand,0.93
Canada,0.93
Switzerland,0.92
United Kingdom,0.92
Netherlands,0.92
Israel,0.91
France,0.91
Turkey,0.88
United States,0.87
Chile,0.87
Czechia,0.87
Finland,0.86
Brazil,0.86
Austria,0.86
Egypt,0.84
China,0.84
Ireland,0.83
Italy,0.83
El Salvador,0.82
Oman,0.82
Malaysia,0.81
Norway,0.81
Spain,0.79
Vietnam,0.79
Luxembourg,0.79
Bangladesh,0.78
Nicaragua,0.77
Greece,0.77
Estonia,0.77
World,0.76
Mexico,0.76
Thailand,0.76
Hungary,0.76
India,0.76
Argentina,0.74
Croatia,0.74
Indonesia,0.73
Cambodia,0.73
Uruguay,0.72
Senegal,0.72
Sri Lanka,0.72
Australia,0.72
Venezuela,0.72
Slovenia,0.72
Costa Rica,0.71
Jordan,0.71
Latvia,0.7
Belize,0.7
Poland,0.7
Mali,0.69
Guatemala,0.68
Colombia,0.68
Panama,0.68
Paraguay,0.68
Slovakia,0.68
Lithuania,0.67
Ukraine,0.66
United Arab Emirates,0.65
Myanmar,0.64
Iran,0.64
Jamaica,0.64
Suriname,0.64
Cuba,0.63
Japan,0.63
Belarus,0.63
Ghana,0.63
Romania,0.63
Pakistan,0.62
Sudan,0.62
Portugal,0.61
South Korea,0.61
Philippines,0.6
Peru,0.6
South Africa,0.6
Papua New Guinea,0.6
Armenia,0.6
Benin,0.6
Bulgaria,0.6
Ethiopia,0.59
Syria,0.59
Kyrgyzstan,0.59
Guyana,0.59
North Macedonia,0.58
Cote d'Ivoire,0.58
Niger,0.58
Albania,0.58
Kenya,0.58
Burkina Faso,0.57
Lebanon,0.57
Russia,0.55
Honduras,0.55
Morocco,0.54
Tajikistan,0.54
Iraq,0.53
Cameroon,0.53
Azerbaijan,0.52
Mongolia,0.51
Moldova,0.5
Bolivia,0.49
Zambia,0.49
Bosnia and Herzegovina,0.48
Malawi,0.48
Nepal,0.47
Algeria,0.46
Nigeria,0.46
Afghanistan,0.45
Gambia,0.45
Guinea,0.44
Uganda,0.43
Kazakhstan,0.43
Ecuador,0.43
Brunei,0.43
Tanzania,0.43
Togo,0.42
Gabon,0.41
Congo,0.41
Trinidad and Tobago,0.41
Bhutan,0.41
Tunisia,0.41
Namibia,0.39
Madagascar,0.39
Libya,0.38
Zimbabwe,0.37
Yemen,0.37
Georgia,0.36
Burundi,0.35
Rwanda,0.34
Mozambique,0.34
Angola,0.32
Democratic Republic of Congo,0.29
Eritrea,0.27
Kuwait,
Dominica,
Barbados,
Tonga,
Grenada,
Bahrain,
Qatar,
Saint Kitts and Nevis,
Singapore,
Iceland,
New Caledonia,
Samoa,
Mauritius,
French Polynesia,
Seychelles,
Maldives,
Malta,
Cyprus,
