Entity,Year,crops_growth,land_change,total_crop_growth,total_land_change
India,1970,,,0.53,0.05
India,1980,0.09,0.02,0.53,0.05
India,1990,0.31,0.01,0.53,0.05
India,2000,0.14,0.01,0.53,0.05
India,2001,-0.02,0.01,0.53,0.05
India,2002,-0.01,-0.0,0.53,0.05
India,2003,-0.04,0.0,0.53,0.05
India,2004,-0.02,-0.0,0.53,0.05
India,2005,0.06,-0.0,0.53,0.05
India,2006,0.01,0.0,0.53,0.05
India,2007,0.01,-0.0,0.53,0.05
India,2008,0.02,0.0,0.53,0.05
India,2009,-0.04,0.0,0.53,0.05
India,2010,0.06,-0.0,0.53,0.05
India,2011,0.02,0.0,0.53,0.05
India,2012,0.01,-0.0,0.53,0.05
India,2013,-0.02,0.0,0.53,0.05
India,2014,0.02,-0.0,0.53,0.05
India,2015,-0.05,-0.0,0.53,0.05
India,2016,-0.02,-0.0,0.53,0.05
United States,1970,,,0.18,-0.21
United States,1980,-0.01,-0.0,0.18,-0.21
United States,1990,-0.02,-0.02,0.18,-0.21
United States,2000,0.17,-0.05,0.18,-0.21
United States,2001,-0.05,0.0,0.18,-0.21
United States,2002,-0.01,-0.01,0.18,-0.21
United States,2003,0.04,-0.01,0.18,-0.21
United States,2004,-0.0,-0.03,0.18,-0.21
United States,2005,-0.04,-0.01,0.18,-0.21
United States,2006,0.06,-0.03,0.18,-0.21
United States,2007,-0.0,0.01,0.18,-0.21
United States,2008,-0.03,0.01,0.18,-0.21
United States,2009,0.03,-0.01,0.18,-0.21
United States,2010,-0.03,-0.04,0.18,-0.21
United States,2011,-0.01,-0.01,0.18,-0.21
United States,2012,0.04,0.02,0.18,-0.21
United States,2013,-0.0,-0.05,0.18,-0.21
United States,2014,0.02,0.03,0.18,-0.21
United States,2015,0.02,-0.04,0.18,-0.21
United States,2016,-0.0,0.03,0.18,-0.21
Canada,1970,,,0.71,-0.08
Canada,1980,0.13,-0.04,0.71,-0.08
Canada,1990,0.15,0.03,0.71,-0.08
Canada,2000,-0.03,0.01,0.71,-0.08
Canada,2001,-0.08,-0.0,0.71,-0.08
Canada,2002,-0.15,0.0,0.71,-0.08
Canada,2003,0.31,0.0,0.71,-0.08
Canada,2004,0.03,0.0,0.71,-0.08
Canada,2005,-0.07,0.0,0.71,-0.08
Canada,2006,0.1,0.0,0.71,-0.08
Canada,2007,-0.02,0.0,0.71,-0.08
Canada,2008,0.01,-0.0,0.71,-0.08
Canada,2009,0.0,-0.0,0.71,-0.08
Canada,2010,0.25,-0.07,0.71,-0.08
Canada,2011,0.04,-0.01,0.71,-0.08
Canada,2012,0.02,0.06,0.71,-0.08
Canada,2013,0.01,-0.05,0.71,-0.08
Canada,2014,-0.0,-0.01,0.71,-0.08
Canada,2015,0.0,0.01,0.71,-0.08
Canada,2016,0.01,-0.01,0.71,-0.08
Brazil,1970,,,0.49,0.75
Brazil,1980,0.07,0.28,0.49,0.75
Brazil,1990,0.1,0.09,0.49,0.75
Brazil,2000,0.12,0.14,0.49,0.75
Brazil,2001,0.05,0.02,0.49,0.75
Brazil,2002,0.02,0.04,0.49,0.75
Brazil,2003,0.05,0.05,0.49,0.75
Brazil,2004,0.0,0.05,0.49,0.75
Brazil,2005,-0.01,0.01,0.49,0.75
Brazil,2006,0.04,0.0,0.49,0.75
Brazil,2007,0.03,-0.01,0.49,0.75
Brazil,2008,0.02,0.02,0.49,0.75
Brazil,2009,0.0,0.0,0.49,0.75
Brazil,2010,0.01,-0.0,0.49,0.75
Brazil,2011,-0.01,0.02,0.49,0.75
Brazil,2012,-0.02,0.0,0.49,0.75
Brazil,2013,0.01,0.01,0.49,0.75
Brazil,2014,-0.03,0.01,0.49,0.75
Brazil,2015,0.04,0.01,0.49,0.75
Brazil,2016,0.0,0.01,0.49,0.75
China,1970,,,0.89,0.18
China,1980,0.28,0.0,0.89,0.18
China,1990,0.21,0.26,0.89,0.18
China,2000,0.07,-0.02,0.89,0.18
China,2001,0.04,0.02,0.89,0.18
China,2002,0.06,-0.01,0.89,0.18
China,2003,-0.04,-0.01,0.89,0.18
China,2004,0.06,0.05,0.89,0.18
China,2005,0.03,-0.03,0.89,0.18
China,2006,0.05,-0.0,0.89,0.18
China,2007,0.01,-0.06,0.89,0.18
China,2008,0.01,0.0,0.89,0.18
China,2009,-0.04,0.01,0.89,0.18
China,2010,0.03,-0.02,0.89,0.18
China,2011,0.03,-0.0,0.89,0.18
China,2012,0.03,0.0,0.89,0.18
China,2013,0.02,-0.0,0.89,0.18
China,2014,0.03,-0.01,0.89,0.18
China,2015,-0.01,0.0,0.89,0.18
China,2016,0.02,-0.0,0.89,0.18
